X-Coordinate:   Y-Coordinate:   Z-Coordinate:
       6000.0         -5500.0        -3300.0
    16839.231       -5490.216       -3294.13
    27663.178        -5474.26      -3284.556
    38481.061       -5457.005      -3274.203
    49295.784       -5439.284       -3263.57
    60108.577       -5421.344      -3252.806
    70920.071       -5403.285      -3241.971
    81730.632       -5385.154      -3231.092
     92540.49       -5366.976      -3220.186
     103349.8       -5348.767       -3209.26
    114158.67       -5330.534      -3198.321
   124967.179       -5312.285      -3187.371
   135775.388       -5294.022      -3176.413
   146583.343        -5275.75       -3165.45
   157391.078        -5257.47      -3154.482
   168198.625       -5239.184       -3143.51
   179006.005       -5220.892      -3132.535
   189813.238       -5202.596      -3121.558
   200620.341       -5184.296      -3110.578
   211427.328       -5165.994      -3099.596
   222234.209       -5147.689      -3088.613
   233040.996       -5129.381      -3077.629
   243847.696       -5111.072      -3066.643
   254654.316       -5092.761      -3055.657
   265460.865       -5074.449      -3044.669
   276267.347       -5056.135      -3033.681
   287073.767        -5037.82      -3022.692
    297880.13       -5019.505      -3011.703
   308686.441       -5001.188      -3000.713
   319492.702       -4982.871      -2989.722
   330298.917       -4964.552      -2978.731
   341105.089       -4946.234       -2967.74
    351911.22       -4927.914      -2956.749
   362717.314       -4909.594      -2945.757
   373523.372       -4891.274      -2934.764
   384329.397       -4872.953      -2923.772
   395135.389       -4854.632      -2912.779
   405941.352        -4836.31      -2901.786
   416747.286       -4817.988      -2890.793
   427553.193       -4799.666        -2879.8
   438359.074       -4781.343      -2868.806
   449164.931       -4763.021      -2857.812
   459970.764       -4744.697      -2846.818
   470776.576       -4726.374      -2835.824
   481582.366       -4708.051       -2824.83
   492388.136       -4689.727      -2813.836
   503193.886       -4671.403      -2802.842
   513999.618       -4653.079      -2791.847
   524805.332       -4634.755      -2780.853
    535611.03        -4616.43      -2769.858
    546416.71       -4598.106      -2758.863
   557222.376       -4579.781      -2747.869
   568028.025       -4561.456      -2736.874
   578833.661       -4543.131      -2725.879
   589639.282       -4524.806      -2714.884
    600444.89       -4506.481      -2703.889
   611250.485       -4488.156      -2692.894
   622056.067       -4469.831      -2681.898
   632861.637       -4451.505      -2670.903
   643667.196        -4433.18      -2659.908
   654472.743       -4414.854      -2648.913
   665278.279       -4396.529      -2637.917
   676083.804       -4378.203      -2626.922
    686889.32       -4359.877      -2615.926
   697694.825       -4341.551      -2604.931
   708500.321       -4323.226      -2593.935
   719305.807         -4304.9       -2582.94
   730111.284       -4286.574      -2571.944
   740916.752       -4268.248      -2560.949
   751722.212       -4249.921      -2549.953
   762527.664       -4231.595      -2538.957
   773333.107       -4213.269      -2527.961
   784138.543       -4194.943      -2516.966
   794943.971       -4176.617       -2505.97
   805749.391        -4158.29      -2494.974
   816554.804       -4139.964      -2483.978
   827360.211       -4121.638      -2472.983
    838165.61       -4103.311      -2461.987
   848971.003       -4084.985      -2450.991
   859776.389       -4066.658      -2439.995
   870581.769       -4048.332      -2428.999
   881387.142       -4030.005      -2418.003
    892192.51       -4011.679      -2407.007
   902997.872       -3993.352      -2396.011
   913803.228       -3975.025      -2385.015
   924608.578       -3956.699      -2374.019
   935413.923       -3938.372      -2363.023
   946219.262       -3920.045      -2352.027
   957024.596       -3901.719      -2341.031
   967829.925       -3883.392      -2330.035
    978635.25       -3865.065      -2319.039
   989440.569       -3846.738      -2308.043
  1000245.883       -3828.412      -2297.047
  1011051.193       -3810.085      -2286.051
  1021856.498       -3791.758      -2275.055
  1032661.798       -3773.431      -2264.059
  1043467.094       -3755.104      -2253.062
  1054272.386       -3736.777      -2242.066
  1065077.674        -3718.45       -2231.07
  1075882.957       -3700.123      -2220.074
  1086688.237       -3681.797      -2209.078
  1097493.512        -3663.47      -2198.082
  1108298.784       -3645.143      -2187.086
  1119104.052       -3626.816      -2176.089
  1129909.316       -3608.489      -2165.093
  1140714.576       -3590.162      -2154.097
  1151519.833       -3571.835      -2143.101
  1162325.086       -3553.508      -2132.105
  1173130.335       -3535.181      -2121.108
  1183935.582       -3516.854      -2110.112
  1194740.825       -3498.527      -2099.116
  1205546.064         -3480.2       -2088.12
  1216351.301       -3461.873      -2077.124
  1227156.534       -3443.545      -2066.127
  1237961.764       -3425.218      -2055.131
  1248766.991       -3406.891      -2044.135
  1259572.215       -3388.564      -2033.139
  1270377.436       -3370.237      -2022.142
  1281182.654        -3351.91      -2011.146
   1291987.87       -3333.583       -2000.15
  1302793.082       -3315.256      -1989.153
  1313598.292       -3296.929      -1978.157
  1324403.499       -3278.602      -1967.161
  1335208.703       -3260.274      -1956.165
  1346013.905       -3241.947      -1945.168
  1356819.104        -3223.62      -1934.172
    1367624.3       -3205.293      -1923.176
  1378429.494       -3186.966      -1912.179
  1389234.686       -3168.639      -1901.183
  1400039.875       -3150.311      -1890.187
  1410845.062       -3131.984      -1879.191
  1421650.246       -3113.657      -1868.194
  1432455.428        -3095.33      -1857.198
  1443260.608       -3077.003      -1846.202
  1454065.785       -3058.675      -1835.205
  1464870.961       -3040.348      -1824.209
  1475676.134       -3022.021      -1813.213
  1486481.305       -3003.694      -1802.216
  1497286.474       -2985.367       -1791.22
   1508091.64       -2967.039      -1780.224
  1518896.805       -2948.712      -1769.227
  1529701.968       -2930.385      -1758.231
  1540507.128       -2912.058      -1747.235
  1551312.287        -2893.73      -1736.238
  1562117.443       -2875.403      -1725.242
  1572922.598       -2857.076      -1714.246
  1583727.751       -2838.749      -1703.249
  1594532.902       -2820.421      -1692.253
  1605338.051       -2802.094      -1681.256
  1616143.199       -2783.767       -1670.26
  1626948.344        -2765.44      -1659.264
  1637753.488       -2747.112      -1648.267
   1648558.63       -2728.785      -1637.271
   1659363.77       -2710.458      -1626.275
  1670168.909        -2692.13      -1615.278
  1680974.045       -2673.803      -1604.282
  1691779.181       -2655.476      -1593.286
  1702584.314       -2637.149      -1582.289
  1713389.446       -2618.821      -1571.293
  1724194.577       -2600.494      -1560.296
  1734999.705       -2582.167        -1549.3
  1745804.833       -2563.839      -1538.304
  1756609.958       -2545.512      -1527.307
  1767415.082       -2527.185      -1516.311
  1778220.205       -2508.858      -1505.315
  1789025.326        -2490.53      -1494.318
  1799830.446       -2472.203      -1483.322
  1810635.564       -2453.876      -1472.325
  1821440.681       -2435.548      -1461.329
  1832245.796       -2417.221      -1450.333
   1843050.91       -2398.894      -1439.336
  1853856.023       -2380.566       -1428.34
